city,total_num_connections,avg_delivery_percent,avg_active_connections,annual_Kwh_millions,year
"DE HEEN",340,19.93,100,0.157,2020
"DE HEEN",338,13.49,100,0.164,2019
"DE LIER",5415,6.54,99.48,1.255,2018
"DE LIER",4887,2.6,99.94,1.542,2019
"DE LIER",5485,11.71,99.7,1.118,2020
"DE MOER",257,9.15,100,0.104,2020
"DE MOER",255,6.66,100,0.11,2019
"DE MOER",253,4.26,100,0.109,2018
"DE MORTEL",634,14.01,100,0.372,2019
"DE MORTEL",631,10.58,100,0.361,2018
"DE MORTEL",637,19.25,100,0.345,2020
"DE RIPS",494,14.98,100,0.25,2019
"DE RIPS",494,10.61,100,0.253,2018
"DE RIPS",491,17.55,100,0.236,2020
DELFT,1974,8.77,86.5,0.248,2018
DELFT,272,0,75,0.037,2018
DELFT,574,7.81,99.91,0.104,2019
DELFT,47504,16.33,99.1,7.607,2020
DEMEN,65,15.42,100,0.03,2019
DEMEN,67,18.1,100,0.03,2020
DEMEN,50,13.33,100,0.024,2018
"DEN DUNGEN",1896,15.02,100,0.422,2019
"DEN DUNGEN",1897,12.13,100,0.435,2018
"DEN DUNGEN",1917,24.28,100,0.415,2020
"DEN HOORN",3491,8.36,98.23,0.546,2018
"DEN HOORN",3578,20.55,99.25,0.515,2020
"DEN HOORN",2797,4.74,99.9,0.581,2019
"DEN HOUT NB",462,9.27,100,0.205,2018
"DEN HOUT NB",467,13.8,100,0.207,2019
"DEN HOUT NB",507,18.4,100,0.216,2020
DEURNE,11254,12.94,100,3.104,2020
DEURNE,11235,8.4,100,3.242,2019
DEURNE,11037,6.16,100,3.223,2018
DEURSEN-DENNENBURG,262,7.25,100,0.088,2018
DEURSEN-DENNENBURG,263,10.27,100,0.087,2019
DEURSEN-DENNENBURG,263,12.88,100,0.087,2020
DIEDEN,104,13.06,100,0.046,2018
DIEDEN,104,15.01,100,0.047,2019
DIEDEN,103,18.52,100,0.036,2020
DIESSEN,1786,10.98,100,0.431,2019
DIESSEN,1795,15.11,100,0.414,2020
DIESSEN,1753,7.33,100,0.449,2018
DINTELOORD,2616,17.16,100,0.558,2020
DINTELOORD,2613,12.01,100,0.59,2019
DINTELOORD,2602,10.26,100,0.593,2018
DONGEN,10588,8.73,100,2.174,2019
DONGEN,10718,12.86,100,2.146,2020
DONGEN,10530,6.01,100,2.218,2018
DORST,1227,14.04,100,0.3,2019
DORST,1218,21.98,100,0.292,2020
DORST,1200,8.34,100,0.323,2018
DRIMMELEN,268,11.63,100,0.136,2020
DRIMMELEN,308,6.16,100,0.142,2019
DRIMMELEN,308,3.3,100,0.138,2018
DRONGELEN,158,6.52,100,0.061,2018
DRONGELEN,160,9.09,100,0.059,2019
DRONGELEN,161,11.25,100,0.056,2020
DRUNEN,7959,8.38,100,1.627,2019
DRUNEN,8096,12.51,100,1.59,2020
DRUNEN,8016,6.52,100,1.672,2018
DUIVENDRECHT,28,0,50,0.026,2020
DUIVENDRECHT,29,0,51.72,0.03,2019
DUIVENDRECHT,29,0,51.72,0.029,2018
DUIZEL,723,15.04,100,0.229,2019
DUIZEL,698,10.36,100,0.223,2018
DUIZEL,782,19.77,100,0.226,2020
DUSSEN,1100,7.12,100,0.329,2018
DUSSEN,1107,9.11,100,0.332,2019
DUSSEN,1078,14.38,100,0.323,2020
EERSEL,5134,13.89,100,1.204,2020
EERSEL,5110,10.19,100,1.234,2019
EERSEL,5069,7.2,100,1.261,2018
EETHEN,336,12.07,100,0.099,2020
EETHEN,331,8.87,100,0.1,2019
EETHEN,327,4.78,100,0.11,2018
EINDHOVEN,111006,4.49,100,17.571,2018
EINDHOVEN,112030,7.65,100,17.221,2019
EINDHOVEN,114321,11.99,100,16.757,2020
ELSENDORP,407,19.69,100,0.204,2020
ELSENDORP,408,15.39,100,0.212,2019
ELSENDORP,402,13.27,100,0.209,2018
ELSHOUT,700,9.95,100,0.282,2018
ELSHOUT,731,17.5,100,0.268,2020
ELSHOUT,697,12.33,100,0.274,2019
ENTER,19,10.53,94.74,0.004,2018
ENTER,19,11,95,0.004,2020
ENTER,19,10.53,94.74,0.004,2019
ERP,2811,16.49,100,1.007,2020
ERP,2770,10.47,100,1.031,2019
ERP,2767,7.12,100,1.036,2018
ESBEEK,565,10.42,100,0.208,2020
ESBEEK,572,7.61,100,0.225,2019
ESBEEK,568,5.87,100,0.221,2018
ESCH,864,8.82,100,0.229,2018
ESCH,864,11.12,100,0.234,2019
ESCH,860,15.62,100,0.238,2020
ESCHAREN,512,18.25,100,0.167,2019
ESCHAREN,512,13.01,100,0.167,2018
ESCHAREN,509,29.7,100,0.174,2020
ETTEN-LEUR,19412,10.19,100,3.58,2020
ETTEN-LEUR,19329,7.17,100,3.674,2019
ETTEN-LEUR,19199,5.89,100,3.694,2018
FIJNAART,2523,10.19,100,0.614,2019
FIJNAART,2521,7.14,100,0.611,2018
FIJNAART,2521,14.51,100,0.581,2020
GALDER,470,8.55,100,0.153,2019
GALDER,492,6.5,100,0.146,2018
GALDER,469,14.39,100,0.14,2020
GASSEL,502,11.31,100,0.192,2018
GASSEL,489,22.97,100,0.179,2020
GASSEL,503,12.83,100,0.185,2019
GEERTRUIDENBERG,3317,6.4,100,0.576,2019
