city,total_num_connections,avg_delivery_percent,avg_active_connections,annual_Kwh_millions,year
OISTERWIJK,9249,6.35,100,2.287,2019
OISTERWIJK,9205,5.13,100,2.315,2018
OLDENZAAL,14708,13.05,98.32,2.92,2020
OLDENZAAL,14073,5.35,99.21,3.006,2018
OLDENZAAL,14598,8.62,98.3,2.976,2019
OMMEL,348,10.15,100,0.149,2018
OMMEL,346,18.11,100,0.144,2020
OMMEL,348,13.3,100,0.148,2019
"OOST WEST EN MIDDELBEERS",2616,16.65,100,0.8,2020
"OOST WEST EN MIDDELBEERS",2545,8.52,100,0.822,2018
"OOST WEST EN MIDDELBEERS",2548,10.54,100,0.816,2019
OOSTEIND,549,17.32,100,0.249,2020
OOSTEIND,540,8.48,100,0.261,2018
OOSTEIND,545,12.2,100,0.264,2019
"OOSTERHOUT NB",23769,11.81,100,4.105,2020
"OOSTERHOUT NB",23586,4.64,100,4.343,2018
"OOSTERHOUT NB",23796,7.01,100,4.246,2019
"OOSTRUM LB",895,26.95,100,0.236,2020
"OOSTRUM LB",882,17.81,100,0.239,2018
"OOSTRUM LB",899,21.96,100,0.242,2019
OPLOO,717,22.01,100,0.269,2020
OPLOO,738,17.08,100,0.276,2019
OPLOO,734,12.97,100,0.282,2018
OSS,27558,12.19,100,5.006,2020
OSS,27191,4.9,100,5.28,2018
OSS,27291,7.38,100,5.21,2019
OSSENDRECHT,2317,13.38,100,0.615,2020
OSSENDRECHT,2322,7.71,100,0.656,2018
OSSENDRECHT,2322,9.98,100,0.644,2019
"OUD GASTEL",3309,10.39,100,0.896,2019
"OUD GASTEL",3336,16.01,100,0.868,2020
"OUD GASTEL",3262,6.42,100,0.912,2018
"OUDEMOLEN NB",119,19.27,100,0.039,2020
"OUDEMOLEN NB",120,17.61,100,0.04,2019
"OUDEMOLEN NB",120,11.47,100,0.038,2018
OUDENBOSCH,5842,13.08,100,1.094,2020
OUDENBOSCH,5790,4.58,100,1.172,2018
OUDENBOSCH,5771,7.4,100,1.125,2019
"OUDERKERK AAN DE AMSTEL",36,0,75,0.007,2020
"OUDERKERK AAN DE AMSTEL",35,0,77.14,0.006,2018
"OUDERKERK AAN DE AMSTEL",35,0,74.29,0.006,2019
OVERLANGEL,189,11.44,100,0.058,2018
OVERLANGEL,188,12.44,100,0.06,2019
OVERLANGEL,188,22.48,100,0.056,2020
OVERLOON,1723,10.51,100,0.515,2019
OVERLOON,1651,8.55,100,0.513,2018
OVERLOON,1688,14.54,100,0.508,2020
POELDIJK,3059,7.45,96.55,0.64,2018
POELDIJK,2724,3.93,100,0.769,2019
POELDIJK,3245,13.03,98.93,0.655,2020
PRINSENBEEK,4962,6.89,100,1.03,2018
PRINSENBEEK,4987,9.78,100,1.013,2019
PRINSENBEEK,5051,14.22,100,0.99,2020
PUTTE,2206,9.05,100,0.402,2019
PUTTE,2203,7.12,100,0.415,2018
PUTTE,2205,13.62,100,0.391,2020
RAAMSDONK,924,9.45,100,0.294,2019
RAAMSDONK,944,17,100,0.29,2020
RAAMSDONK,906,5.89,100,0.294,2018
RAAMSDONKSVEER,5853,11.85,100,1.301,2020
RAAMSDONKSVEER,5884,8.37,100,1.337,2019
RAAMSDONKSVEER,5874,5.4,100,1.356,2018
RAVENSTEIN,1518,12.85,100,0.32,2020
RAVENSTEIN,1517,6.17,100,0.323,2018
RAVENSTEIN,1521,7.98,100,0.326,2019
REEK,695,19.71,100,0.2,2020
REEK,692,10.95,100,0.19,2018
REEK,696,13.59,100,0.198,2019
REUSEL,3740,7.64,100,0.996,2018
REUSEL,3784,9.33,100,0.974,2019
REUSEL,3814,13.87,100,0.962,2020
RIEL,1227,13.36,100,0.334,2019
RIEL,1217,9.48,100,0.336,2018
RIEL,1215,16.87,100,0.334,2020
RIETHOVEN,1030,8.94,100,0.243,2018
RIETHOVEN,1039,13.9,100,0.248,2019
RIETHOVEN,1044,18.77,100,0.242,2020
RIJEN,7473,7.21,100,1.406,2018
RIJEN,7494,9.81,100,1.393,2019
RIJEN,7494,13.42,100,1.356,2020
RIJKEVOORT,734,15.06,100,0.247,2020
RIJKEVOORT,749,8.04,100,0.255,2018
RIJKEVOORT,749,9.86,100,0.248,2019
RIJSBERGEN,2800,13.98,100,0.691,2020
RIJSBERGEN,2774,8.06,100,0.723,2018
RIJSBERGEN,2825,9.6,100,0.715,2019
"RIJSWIJK ZH",29018,6.28,97.92,4.633,2018
"RIJSWIJK ZH",753,11.54,100,0.174,2019
"RIJSWIJK ZH",28270,4.27,95.83,4.451,2018
"RIJSWIJK ZH",29402,10.95,98.35,4.622,2020
ROORDAHUIZUM,45,0,75.56,0.008,2019
ROORDAHUIZUM,45,0,75.56,0.009,2020
ROORDAHUIZUM,44,0,75,0.009,2018
ROOSENDAAL,32011,4.68,100,5.887,2018
ROOSENDAAL,32169,10,100,5.55,2020
ROOSENDAAL,32105,5.99,100,5.797,2019
ROSMALEN,15841,14.82,100,3.111,2020
ROSMALEN,15281,7.19,100,3.199,2018
ROSMALEN,15577,9.58,100,3.186,2019
RUCPHEN,2145,12.82,100,0.591,2020
RUCPHEN,2187,8.73,100,0.6,2019
RUCPHEN,2176,6.13,100,0.581,2018
SAMBEEK,710,14.75,100,0.219,2019
SAMBEEK,709,21.63,100,0.221,2020
SAMBEEK,709,8.72,100,0.249,2018
SCHAIJK,3055,10.71,100,0.821,2019
SCHAIJK,3237,19.47,100,0.784,2020
SCHAIJK,3029,6.89,100,0.858,2018
SCHIJF,675,18.06,100,0.255,2020
SCHIJF,699,12.65,100,0.251,2019
SCHIJF,697,9.91,100,0.25,2018
SCHIJNDEL,10427,15.63,100,2.231,2020
SCHIJNDEL,10362,12.16,100,2.265,2019
SCHIJNDEL,10359,9.21,100,2.302,2018
SCHIPLUIDEN,1858,14.53,99.92,0.392,2018
SCHIPLUIDEN,1753,3.58,99.92,0.44,2019
SCHIPLUIDEN,1946,22.53,95.51,0.386,2020
SIEBENGEWALD,244,8.24,100,0.056,2019
SIEBENGEWALD,616,10.64,100,0.118,2020
SIEBENGEWALD,641,5.84,100,0.128,2018
"SINT AGATHA",209,19.27,100,0.066,2019
"SINT AGATHA",209,18.1,100,0.067,2018
"SINT AGATHA",209,24.93,100,0.063,2020
"SINT ANTHONIS",1836,16.49,100,0.503,2020
"SINT ANTHONIS",1861,11.25,100,0.519,2019
"SINT ANTHONIS",1884,8.46,100,0.508,2018
"SINT HUBERT",635,11.46,100,0.198,2019
"SINT HUBERT",626,6.92,100,0.199,2018
"SINT HUBERT",647,18.06,100,0.197,2020
SINT-MICHIELSGESTEL,5295,11.65,100,1.187,2019
SINT-MICHIELSGESTEL,5247,16.41,100,1.168,2020
SINT-MICHIELSGESTEL,5236,9.01,100,1.224,2018
SINT-OEDENRODE,7797,7.09,100,2.3,2018
SINT-OEDENRODE,7892,19.43,100,2.173,2020
SINT-OEDENRODE,7874,12.56,100,2.223,2019
SLEEUWIJK,2459,17.32,100,0.492,2020
SLEEUWIJK,2446,13.24,100,0.507,2019
SLEEUWIJK,2414,9.2,100,0.507,2018
SMAKT,88,15,100,0.08,2019
SMAKT,88,20.3,100,0.073,2020
SMAKT,89,9.41,100,0.083,2018
SOMEREN,7443,15.18,100,2.132,2019
SOMEREN,7385,10.48,100,2.191,2018
SOMEREN,7465,21.18,100,2.021,2020
"SON EN BREUGEL",7569,10.36,100,2.056,2019
"SON EN BREUGEL",7461,6.24,100,2.088,2018
"SON EN BREUGEL",7677,17.6,100,1.982,2020
SPRANG-CAPELLE,4377,10.58,100,0.891,2020
SPRANG-CAPELLE,4340,5.19,100,0.928,2018
SPRANG-CAPELLE,4356,7.39,100,0.902,2019
SPRUNDEL,2233,5.16,100,0.649,2018
SPRUNDEL,2271,12.55,100,0.644,2020
SPRUNDEL,2278,8.42,100,0.656,2019
"ST. WILLEBRORD",4038,2.25,100,0.899,2018
"ST. WILLEBRORD",4115,7.12,100,0.866,2020
"ST. WILLEBRORD",4103,4.59,100,0.89,2019
STAMPERSGAT,539,9.63,100,0.118,2019
STAMPERSGAT,539,5.27,100,0.12,2018
STAMPERSGAT,539,14.4,100,0.113,2020
STANDDAARBUITEN,953,11.57,100,0.213,2019
STANDDAARBUITEN,962,16.3,100,0.208,2020
STANDDAARBUITEN,949,7.84,100,0.221,2018
"STEENBERGEN NB",5850,12.7,100,1.222,2019
"STEENBERGEN NB",5901,16.87,100,1.192,2020
"STEENBERGEN NB",5805,10.06,100,1.247,2018
STEENSEL,622,10.26,100,0.15,2019
STEENSEL,608,6.36,100,0.151,2018
STEENSEL,633,14.02,100,0.143,2020
STEVENSBEEK,293,23.37,100,0.123,2020
STEVENSBEEK,284,14.26,100,0.115,2018
STEVENSBEEK,304,15.99,100,0.122,2019
STRIJBEEK,113,10.24,100,0.05,2018
STRIJBEEK,155,16.68,100,0.059,2020
STRIJBEEK,156,12.75,100,0.057,2019
TEEFFELEN,80,22.85,100,0.037,2020
TEEFFELEN,79,17.86,100,0.038,2019
TEEFFELEN,79,11.8,100,0.037,2018
"TER HEIJDE",292,1.54,99.29,0.047,2019
"TER HEIJDE",328,2.72,99.27,0.042,2018
"TER HEIJDE",339,3.61,100,0.048,2020
TERHEIJDEN,2700,8.57,100,0.594,2019
TERHEIJDEN,2680,11.81,100,0.569,2020
TERHEIJDEN,2704,5.74,100,0.632,2018
TETERINGEN,3333,15.26,100,0.656,2020
TETERINGEN,3115,11.46,100,0.648,2019
TETERINGEN,3020,8.76,100,0.636,2018
TILBURG,88259,4.82,100,14.261,2018
TILBURG,90205,8.9,100,13.917,2020
TILBURG,89200,6.08,100,14.162,2019
UDEN,17017,7.14,100,3.642,2018
UDEN,17162,11.71,100,3.581,2019
UDEN,17272,21,100,3.472,2020
UDENHOUT,3368,11.85,100,0.826,2019
UDENHOUT,3323,8.56,100,0.826,2018
UDENHOUT,3418,17.4,100,0.811,2020
UITWIJK,141,13.96,100,0.049,2020
UITWIJK,145,11.08,100,0.05,2019
UITWIJK,145,10.47,100,0.051,2018
ULICOTEN,498,10.3,100,0.24,2019
ULICOTEN,496,7.32,100,0.245,2018
ULICOTEN,463,14.93,100,0.231,2020
ULVENHOUT,2244,15.74,100,0.532,2020
ULVENHOUT,2255,12.42,100,0.559,2019
ULVENHOUT,2227,7.6,100,0.555,2018
VALKENSWAARD,15417,15.65,100,3.107,2020
VALKENSWAARD,15289,8.59,100,3.196,2019
VALKENSWAARD,15138,5.44,100,3.269,2018
VEEN,1320,7.89,100,0.306,2020
VEEN,1307,4.97,100,0.311,2019
VEEN,1247,3.17,100,0.297,2018
VEGHEL,13745,11.14,100,3.055,2019
VEGHEL,13646,6.74,100,3.119,2018
VEGHEL,13920,20.32,100,2.988,2020
VELDHOVEN,20450,9.57,100,4.379,2019
VELDHOVEN,20592,14.9,100,4.275,2020
VELDHOVEN,20355,5.76,100,4.435,2018
"VELP NB",407,18.96,100,0.171,2020
"VELP NB",414,8.45,100,0.178,2018
"VELP NB",413,11.52,100,0.18,2019
"VELSEN ZUID",66,0,59.09,0.035,2020
"VELSEN ZUID",66,0,71.21,0.036,2018
"VELSEN ZUID",66,0,60.61,0.035,2019
VENHORST,639,17.04,100,0.311,2020
VENHORST,638,10.46,100,0.336,2018
VENHORST,644,11.97,100,0.322,2019
VENRAY,13486,25.61,100,2.426,2020
VENRAY,13316,18.97,100,2.499,2019
VENRAY,13355,10.94,100,2.565,2018
VESSEM,1314,9.15,100,0.374,2018
VESSEM,1345,11.19,100,0.365,2019
VESSEM,1348,15.26,100,0.352,2020
VEULEN,235,19.69,100,0.192,2020
VEULEN,223,11.48,100,0.185,2019
VEULEN,221,10.24,100,0.184,2018
"VIANEN NB",508,11,100,0.126,2019
"VIANEN NB",501,7.24,100,0.127,2018
"VIANEN NB",508,17.66,100,0.125,2020
VIERLINGSBEEK,1111,9.97,100,0.317,2018
VIERLINGSBEEK,1099,18.93,100,0.299,2020
VIERLINGSBEEK,1112,13.27,100,0.31,2019
VINKEL,1086,10.39,100,0.302,2019
VINKEL,1083,7.36,100,0.3,2018
VINKEL,1117,17.58,100,0.294,2020
VLIERDEN,568,21.74,100,0.201,2020
VLIERDEN,561,12.68,100,0.21,2018
VLIERDEN,563,16.14,100,0.209,2019
VLIJMEN,6371,17.2,100,1.226,2020
VLIJMEN,6074,10.37,100,1.222,2019
VLIJMEN,6039,8.5,100,1.224,2018
VOLKEL,1514,7.4,100,0.486,2018
VOLKEL,1545,9.98,100,0.491,2019
VOLKEL,1550,14,100,0.479,2020
VORSTENBOSCH,663,17.34,100,0.235,2020
VORSTENBOSCH,663,10.7,100,0.233,2018
VORSTENBOSCH,665,14.48,100,0.235,2019
VORTUM-MULLEM,260,18.52,100,0.106,2019
VORTUM-MULLEM,271,14.16,100,0.112,2018
VORTUM-MULLEM,259,26.77,100,0.099,2020
VREDEPEEL,101,19.37,100,0.094,2020
VREDEPEEL,107,15.17,100,0.106,2019
VREDEPEEL,107,14.36,100,0.115,2018
VUGHT,11070,9.8,100,2.205,2020
VUGHT,11039,7.37,100,2.247,2019
VUGHT,11029,5.74,100,2.31,2018
WAALRE,7974,16.86,100,1.711,2020
WAALRE,7832,6.72,100,1.76,2018
WAALRE,7937,10.61,100,1.746,2019
WAALWIJK,15999,4.18,100,3.232,2018
WAALWIJK,16232,5.59,100,3.141,2019
WAALWIJK,16292,8.02,100,3.024,2020
WAARDHUIZEN,87,17.93,100,0.024,2020
WAARDHUIZEN,87,11.04,100,0.025,2019
WAARDHUIZEN,82,10.96,100,0.026,2018
WAGENBERG,938,7.94,100,0.252,2018
WAGENBERG,939,9.34,100,0.255,2019
WAGENBERG,918,14.39,100,0.254,2020
WANROIJ,1181,8.9,100,0.58,2018
WANROIJ,1181,11.81,100,0.57,2019
WANROIJ,1156,18.61,100,0.53,2020
WASPIK,2203,12.9,100,0.552,2020
WASPIK,2173,6.95,100,0.596,2018
WASPIK,2197,9.58,100,0.599,2019
WATERINGEN,7044,5.94,99.98,1.268,2018
WATERINGEN,7375,11.5,99.55,1.195,2020
WATERINGEN,6227,3.07,99.92,1.425,2019
WERKENDAM,4720,9.27,100,1.123,2020
WERKENDAM,4713,4.25,100,1.152,2018
WERKENDAM,4720,6.85,100,1.134,2019
WERNHOUT,1436,7.31,100,0.244,2018
WERNHOUT,1441,9.45,100,0.24,2019
WERNHOUT,1401,15.77,100,0.238,2020
WESTERBEEK,274,14.71,100,0.169,2020
WESTERBEEK,273,8.82,100,0.18,2019
WESTERBEEK,274,6.91,100,0.172,2018
WESTERHOVEN,936,12.11,100,0.26,2019
WESTERHOVEN,931,9.39,100,0.262,2018
WESTERHOVEN,937,18.16,100,0.257,2020
"WIJK EN AALBURG",2472,7.25,100,0.629,2019
"WIJK EN AALBURG",2466,4.82,100,0.638,2018
"WIJK EN AALBURG",2531,10.7,100,0.606,2020
WILBERTOORD,397,15.04,100,0.142,2018
WILBERTOORD,410,23.32,100,0.131,2020
WILBERTOORD,408,17.62,100,0.134,2019
"WILLEMSTAD NB",1530,14.47,100,0.356,2020
"WILLEMSTAD NB",1506,6.54,100,0.373,2018
"WILLEMSTAD NB",1529,9.18,100,0.375,2019
WINTELRE,849,14.41,100,0.266,2019
WINTELRE,853,19.88,100,0.25,2020
WINTELRE,834,10.23,100,0.287,2018
WOENSDRECHT,678,13.42,100,0.147,2020
WOENSDRECHT,679,9.74,100,0.154,2019
WOENSDRECHT,678,7.95,100,0.158,2018
WOUDRICHEM,2084,7.61,100,0.428,2019
WOUDRICHEM,2103,10.7,100,0.418,2020
WOUDRICHEM,2081,5.16,100,0.433,2018
WOUW,2112,6.33,100,0.449,2018
WOUW,2094,13.59,100,0.425,2020
WOUW,2115,8.53,100,0.45,2019
"WOUWSE PLANTAGE",715,19.62,100,0.22,2020
"WOUWSE PLANTAGE",688,10.44,100,0.223,2018
"WOUWSE PLANTAGE",690,14.02,100,0.222,2019
"YSSELSTEYN LB",977,16.62,100,0.609,2020
"YSSELSTEYN LB",972,14.09,100,0.599,2019
"YSSELSTEYN LB",974,12.03,100,0.598,2018
ZEELAND,2655,19.66,100,0.807,2020
ZEELAND,2629,11.78,100,0.832,2019
ZEELAND,2613,8.48,100,0.827,2018
ZEGGE,915,9.84,100,0.272,2019
ZEGGE,928,16.32,100,0.269,2020
ZEGGE,904,6.51,100,0.261,2018
ZEVENBERGEN,6617,7.56,100,1.345,2019
ZEVENBERGEN,6604,5.26,100,1.367,2018
ZEVENBERGEN,6659,12.9,100,1.3,2020
"ZEVENBERGSCHEN HOEK",696,10.68,100,0.195,2019
"ZEVENBERGSCHEN HOEK",696,8.01,100,0.19,2018
"ZEVENBERGSCHEN HOEK",696,14.73,100,0.185,2020
"ZEVENBERGSCHEN HOEK DRI",20,20,100,0.009,2018
"ZEVENBERGSCHEN HOEK DRI",20,20,100,0.009,2019
"ZEVENBERGSCHEN HOEK DRI",15,13.33,100,0.01,2020
ZUNDERT,4008,4.81,100,0.8,2018
ZUNDERT,4055,10.88,100,0.79,2020
ZUNDERT,4033,6.85,100,0.806,2019
